 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
235,165.152,0.000,104.897,157.717,47.143,15.049,13.973,160.787,0.934,15.656,0.000,214,337,159.444,13.743,1.077,0.928,0.971
236,241.748,0.000,731.375,158.711,58.091,18.951,16.242,169.897,0.900,19.703,0.000,1576,340,162.408,16.033,1.167,0.857,0.967
237,224.960,0.238,147.008,160.913,56.148,17.783,16.106,119.312,0.897,18.602,0.093,309,335,127.999,16.033,1.104,0.906,0.964
238,241.118,0.000,664.316,159.366,58.314,19.804,15.502,174.150,0.891,20.670,0.000,1429,343,167.196,15.575,1.277,0.783,0.962
239,252.870,0.000,799.712,161.940,60.368,19.116,16.843,40.315,0.872,20.141,0.000,1723,359,17.199,16.844,1.135,0.881,0.955
240,320.022,0.167,359.901,162.799,66.939,21.197,19.223,113.504,0.897,21.898,0.066,771,335,127.349,19.053,1.103,0.907,0.972
241,219.713,0.000,437.540,164.329,55.075,17.803,15.714,119.771,0.910,18.243,0.000,943,342,128.884,16.033,1.133,0.883,0.967
242,301.345,0.178,753.289,165.605,64.838,22.169,17.308,134.436,0.901,22.633,0.070,1625,346,144.058,17.816,1.281,0.781,0.971
243,222.022,0.000,764.699,163.082,56.259,19.229,14.701,17.247,0.881,19.327,0.000,1653,369,31.430,14.750,1.308,0.765,0.966
244,301.135,0.000,454.845,166.221,64.302,20.399,18.796,118.199,0.915,21.018,0.000,986,341,106.460,19.053,1.085,0.921,0.970
245,347.932,3.845,322.964,168.343,70.401,23.660,18.724,139.872,0.882,23.913,1.508,689,347,126.431,19.012,1.264,0.791,0.966
